"URL","File Size (Bytes)","# Outlinks","Content Type"
"https://www.usatoday.com/picture-gallery/life/health-wellness/2021/04/07/27-healthy-eating-habits-that-will-change-your-life/115664960/","163733","182","text/html"
"https://www.usatoday.com/story/money/food/2023/02/16/kfc-menu-changes-chicken-wrap-wings-popcorn/11267230002/","171436","166","text/html"
"https://www.usatoday.com/story/travel/experience/america/theme-parks/2023/02/20/universal-orlando-resort-beignet-recipe-mardi-gras/11303679002/","176943","168","text/html"
"https://www.usatoday.com/story/life/reviewed/2023/03/02/how-make-iced-coffee/11022868002/","126224","148","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/21/pork-and-peanut-dragon-noodles-recipe/10698002002/","171510","168","text/html"
"https://www.usatoday.com/story/money/food/2023/02/21/shamrock-shake-2023-back-mcdonalds/11311711002/","166073","163","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/13/how-to-eat-less-processed-foods/11197030002/","172702","174","text/html"
"https://www.usatoday.com/story/life/reviewed/2023/02/21/national-margarita-day-2023-what-you-need-make-perfect-margarita/11314763002/","149440","164","text/html"
"https://www.usatoday.com/story/entertainment/tv/2023/02/10/super-bowl-next-level-chef-gordon-ramsay/11220835002/","205419","174","text/html"
"https://www.usatoday.com/story/money/food/2023/03/02/nick-jonas-priyanka-chopra-popcorn/11368661002/","180873","177","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/07/super-bowl-2023-recipes-chef-anne-burrell-mac-and-cheese/11148633002/","170963","172","text/html"
"https://www.usatoday.com/story/life/food-dining/2023/02/21/red-velvet-dessert-recipes/10697200002/","184810","179","text/html"
"https://www.usatoday.com/story/money/food/2023/02/12/valentines-day-mcdonalds-new-cardi-b-and-offset-meal-just-two/11230449002/","168097","170","text/html"
"https://www.usatoday.com/money/blueprint/wp-content/uploads/2023/02/GettyImages-1294509750-e1675344113678.jpg","331262","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/wp-content/uploads/2023/02/LumiNola.jpg","307921","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/01/08113536/GettyImages-1413887295-e1675856136967.jpeg","32507","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/wp-content/uploads/2023/02/GettyImages-1384202660-e1675280400760.jpeg","57231","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/personal-loans/best-joint-personal-loans/","764670","305","text/html"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/02/17050609/personal-loans-for-fair-credit.jpeg","62654","0","image/jpeg"
"https://www.usatoday.com/money/blueprint/images/uploads/2023/03/02004832/best-debt-consolidation-loans.jpeg","439565","0","image/jpeg"
"https://www.usatoday.com/story/news/pr/2020/06/12/usa-today-high-school-awards-steam-online/5347381002/","163515","156","text/html"
"https://www.usatoday.com/story/news/pr/2020/10/06/usa-today-partners-google-launch-new-web-story-experience-google-discover/5899924002/","139748","142","text/html"
"https://www.usatoday.com/story/news/pr/2021/01/26/usa-today-kicks-off-its-33rd-ad-meter-program/4257644001/","103414","110","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/18/usa-today-investigation-into-lsus-handling-sexual-misconduct-cases-continues-make-impact/4745498001/","148458","148","text/html"
"https://www.usatoday.com/videos/news/pr/2021/03/03/statesmanvid-final/6910215002/","135216","170","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/26/usa-today-launches-usa-todays-women-year-franchise-featuring-interview-vice-president-kamala-harris/7010358002/","145177","139","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/17/gannett-journalists-keep-their-local-communities-informed-critical-covid-19-news-throughout-year-pan/4736614001/","156658","169","text/html"
"https://www.usatoday.com/story/news/pr/2021/04/20/usa-today-washington-bureau-chief-susan-page-releases-madam-speaker-book-nancy-pelosi/7301668002/","164954","161","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/08/usa-today-sports-media-group-launches-playable-brackets-and-ar-hoops-experience/4631230001/","88613","99","text/html"
"https://www.usatoday.com/story/news/pr/2020/10/12/nine-newsrooms-across-usa-today-network-and-lee-enterprises-iowa-worked-together-lift-up-stories-iow/5966569002/","145113","137","text/html"
"https://www.usatoday.com/story/news/pr/2020/05/27/gannett-announces-2019-best-gannett-award-winners/5262528002/","191662","176","text/html"
"https://www.usatoday.com/story/news/pr/2021/02/16/gannett-and-mcclatchy-collaborate-offer-local-reach-national-advertisers/6743048002/","88058","97","text/html"
"https://www.usatoday.com/story/news/pr/2020/06/30/usa-today-network-collaborates-smithsonian-bring-summer-activity-guide-k-8-learners/5350033002/","139790","135","text/html"
"https://www.usatoday.com/story/news/pr/2021/01/11/gannett-names-spencer-mandell-executive-creative-director/6619917002/","86354","97","text/html"
"https://www.usatoday.com/story/news/pr/2021/01/28/gannett-earns-top-marks-human-rights-campaigns-2021-corporate-equality-index/4286883001/","88117","99","text/html"
"https://www.usatoday.com/story/news/pr/2020/08/03/usa-today-network-partners-19th-distribute-content-intersection-gender-politics-and-policy/5572492002/","141227","135","text/html"
"https://www.usatoday.com/story/news/pr/2021/06/22/gannett-launches-its-inaugural-non-fungible-token-inspired-first-newspaper-on-the-moon/5311544001/","140234","138","text/html"
"https://www.usatoday.com/story/news/pr/2020/06/23/new-usa-today-sports-podcast-examines-womens-role-world-sports/3242368001/","143036","136","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/12/one-year-after-fatal-police-shooting-breonna-taylor-courier-journal-reporters-who-have-been-covering/4671984001/","166127","164","text/html"
"https://www.usatoday.com/story/news/pr/2021/05/18/gannett-invites-usa-today-network-readers-connect-and-bridge-americas-divide/5152696001/","168610","169","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/02/usa-today-network-ventures-raise-500-000-st-jude-childrens-research-hospital/4569589001/","100898","108","text/html"
"https://www.usatoday.com/videos/news/pr/2021/03/15/gannett-stands-des-moines-register-reporter-andrea-sahouri/4706527001/","99017","130","text/html"
"https://www.usatoday.com/story/news/pr/2021/05/20/usa-todays-new-never-been-told-project-seeks-spotlight-untold-stories-people-color-us/5180044001/","142780","138","text/html"
"https://www.usatoday.com/story/news/pr/2021/06/14/reviewed-teaches-consumers-how-hack-prime-day-and-shop-like-professional-deal-hunter/7693922002/","140183","139","text/html"
"https://www.usatoday.com/story/news/pr/2021/02/08/rocket-mortgage-wins-ad-meters-top-spot/4437458001/","86187","98","text/html"
"https://www.usatoday.com/story/news/pr/2020/05/29/usa-today-network-launches-ambitious-rebuilding-america-initiative/5286314002/","144883","135","text/html"
"https://www.usatoday.com/story/news/pr/2020/04/07/usa-today-network-launches-just-faqs-live-conversations-coronavirus-facebook/2965380001/","145046","138","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/10/gannettgannett-appl-applauds-jury-acquitting-des-moines-register-reporter-arrested-covering-protests/6944101002/","166171","155","text/html"
"https://www.usatoday.com/story/news/pr/2020/05/29/gannett-wins-telly-awards/5282433002/","137222","136","text/html"
"https://www.usatoday.com/story/news/pr/2020/08/14/usa-today-names-100-women-century-commemorate-100th-anniversary-19th-amendment/3373786001/","145029","138","text/html"
"https://www.usatoday.com/story/news/pr/2020/12/10/usa-today-network-and-gannett-foundation-announce-2020-national-grant-recipients-a-community-thrives/3881603001/","152469","152","text/html"
"https://www.usatoday.com/story/news/pr/2020/06/05/usa-todays-brett-murphy-named-2020-livingston-award-winner-international-reporting-show-force-invest/3154999001/","142810","137","text/html"
"https://www.usatoday.com/story/news/pr/2020/09/08/gannett-hires-mayur-gupta-chief-marketing-strategy-officer/5745461002/","159683","155","text/html"
"https://www.usatoday.com/story/news/pr/2021/06/11/gannett-wins-pulitzer-prize-national-reporting-and-honored-finalist/7660197002/","148426","141","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/04/gannett-and-snap-inc-partner-bring-local-businesses-innovative-ad-solutions/6913581002/","86953","97","text/html"
"https://www.usatoday.com/story/news/pr/2021/06/04/usa-today-welcomes-two-notable-columnists/7546492002/","142389","142","text/html"
"https://www.usatoday.com/story/news/pr/2021/06/04/usa-today-networks-storytellers-project-announces-new-i-am-series-share-stories-people-color/7543057002/","141448","138","text/html"
"https://www.usatoday.com/story/news/pr/2021/05/04/courier-journal-and-abc-news-20-20-nominated-peabody-award-joint-investigative-documentary-say-her-n/4939436001/","142951","139","text/html"
"https://www.usatoday.com/story/news/pr/2020/08/19/gannett-foundation-relaunches-a-community-thrives-crowdfunding-and-grant-program/5606466002/","142688","139","text/html"
"https://www.usatoday.com/story/news/pr/2021/05/11/gannetts-imagn-serve-new-worldwide-official-photography-partner-mls-and-mls-players-association/5035420001/","144200","136","text/html"
"https://www.usatoday.com/story/news/pr/2020/11/02/new-election-results-platform-created-usa-today-network/6124343002/","158869","154","text/html"
"https://www.usatoday.com/story/news/pr/2020/06/24/indy-star-journalists-behind-out-balance-investigation-exposed-sexual-abuse-within-usa-gymnastics-fe/3251775001/","143418","134","text/html"
"https://www.usatoday.com/story/news/pr/2021/03/03/gannett-teams-texas-provide-vital-information-local-communities-impacted-storm/6909976002/","164391","151","text/html"
"https://www.usatoday.com/story/news/pr/2020/09/29/usa-today-provide-comprehensive-screen-fact-checking-2020-presidential-and-vice-presidential-debates/3579282001/","145004","140","text/html"
"https://www.usatoday.com/story/news/pr/2020/10/02/american-influencer-awards-announces-2020-beauty-awards-nominees/5894922002/","159198","156","text/html"
"https://www.usatoday.com/story/news/pr/2020/12/11/usa-today-network-advance-audio-strategy-new-tool/3889651001/","139383","135","text/html"
"https://www.usatoday.com/story/news/pr/2021/05/27/usa-today-collaborates-trace-yearlong-data-driven-investigation-revealing-atf-routinely-lets-problem/7465390002/","142578","136","text/html"
"https://www.usatoday.com/story/news/pr/2020/05/05/usa-today-network-launches-series-focused-workers-feeding-america-during-covid-19-pandemic/5172531002/","132689","134","text/html"
"https://www.usatoday.com/story/news/pr/2021/01/12/usa-today-and-adweek-join-host-big-game-summit/6641340002/","85879","99","text/html"
